country,population,region,"estimated prevalence of modern slavery per 1,000 population",estimated number of people in modern slavery,governance issues,lack of basic needs,inequality,disenfranchised groups,effects of conflict,total vulnerability score (%),survivors of slavery are identified and supported to exit and remain out of modern slavery (%),criminal justice mechanisms function effectively to prevent modern slavery (%),"coordination occurs at the national and regional level and across borders, and governments are held to account for their response (%)","risk factors, such as attitudes, social systems, and institutions that enable modern slavery are addressed (%)",government and business stop sourcing goods and services produced by forced labour (%),government response total (%),year,corruption,year_democracy,democracy score,year_migration,migration
El Salvador,6486000,Americas,8.1,52000.0,54.0,34.0,67.0,62.0,21.0,52.0,45.0,58.0,50.0,43.0,0.0,45.0,2023.0,31.0,2023.0,4.71,2023.0,-23249.0
Equatorial Guinea,1403000,Africa,7.8,11000.0,73.0,60.0,55.0,77.0,7.0,69.0,27.0,27.0,25.0,14.0,0.0,22.0,2023.0,17.0,,,2023.0,4000.0
Eritrea,3546000,Africa,90.3,320000.0,66.0,60.0,46.0,77.0,21.0,66.0,-5.0,23.0,25.0,-21.0,0.0,5.0,2023.0,21.0,,,2023.0,-15297.0
Estonia,1327000,Europe and Central Asia,4.1,5000.0,16.0,18.0,25.0,50.0,23.0,15.0,59.0,46.0,75.0,79.0,25.0,56.0,2023.0,76.0,2023.0,7.96,2023.0,-1000.0
Eswatini,1160000,Africa,3.6,4000.0,71.0,52.0,39.0,71.0,4.0,59.0,27.0,38.0,50.0,57.0,0.0,36.0,2023.0,30.0,2023.0,2.78,2023.0,-5268.0
Ethiopia,114964000,Africa,6.3,727000.0,54.0,59.0,41.0,79.0,70.0,67.0,41.0,54.0,50.0,57.0,0.0,45.0,2023.0,37.0,2023.0,3.37,2023.0,-11999.0
Fiji,896000,Asia and the Pacific,,,,,,,,,50.0,50.0,38.0,64.0,0.0,46.0,2023.0,52.0,2023.0,5.55,2023.0,-3289.0
Finland,5541000,Europe and Central Asia,1.4,8000.0,12.0,21.0,12.0,24.0,22.0,5.0,55.0,62.0,88.0,71.0,25.0,60.0,2023.0,87.0,2023.0,9.3,2023.0,13999.0
France,65274000,Europe and Central Asia,2.1,135000.0,11.0,21.0,28.0,33.0,38.0,13.0,41.0,81.0,88.0,57.0,38.0,62.0,2023.0,71.0,2023.0,8.07,2023.0,67761.0
Gabon,2226000,Africa,7.6,17000.0,62.0,52.0,51.0,69.0,16.0,59.0,27.0,31.0,25.0,21.0,0.0,24.0,2023.0,28.0,2023.0,2.18,2023.0,1000.0
Gambia,2417000,Africa,6.5,16000.0,65.0,51.0,41.0,65.0,16.0,58.0,23.0,58.0,25.0,43.0,0.0,36.0,2023.0,37.0,2023.0,4.47,,
Georgia,3989000,Europe and Central Asia,7.8,31000.0,40.0,27.0,34.0,68.0,29.0,38.0,68.0,65.0,75.0,71.0,0.0,62.0,2023.0,53.0,2023.0,5.2,2023.0,-9999.0
Germany,83784000,Europe and Central Asia,0.6,47000.0,13.0,22.0,25.0,18.0,35.0,11.0,50.0,81.0,63.0,57.0,38.0,62.0,2023.0,78.0,2023.0,8.8,2023.0,155751.0
Ghana,31073000,Africa,2.9,91000.0,43.0,44.0,47.0,62.0,21.0,45.0,45.0,54.0,63.0,36.0,13.0,45.0,2023.0,43.0,2023.0,6.3,2023.0,-9999.0
Greece,10423000,Europe and Central Asia,6.4,66000.0,17.0,22.0,32.0,52.0,31.0,21.0,68.0,62.0,75.0,64.0,25.0,62.0,2023.0,49.0,2023.0,8.14,2023.0,5000.0
Guatemala,17916000,Americas,7.8,140000.0,54.0,42.0,68.0,65.0,29.0,57.0,59.0,50.0,63.0,43.0,0.0,47.0,2023.0,23.0,2023.0,4.47,2023.0,-9110.0
Guinea,13133000,Africa,4.0,53000.0,75.0,46.0,50.0,74.0,21.0,66.0,36.0,50.0,38.0,29.0,0.0,36.0,2023.0,26.0,2023.0,2.21,2023.0,-4000.0
Guinea-Bissau,1968000,Africa,4.5,9000.0,83.0,75.0,63.0,70.0,11.0,80.0,32.0,35.0,25.0,57.0,0.0,33.0,2023.0,22.0,2023.0,2.45,2023.0,-1400.0
Guyana,787000,Americas,4.2,3000.0,45.0,24.0,61.0,61.0,10.0,41.0,50.0,65.0,63.0,50.0,0.0,51.0,2023.0,40.0,2023.0,6.26,2023.0,-3900.0
Haiti,11403000,Americas,8.2,94000.0,62.0,58.0,54.0,76.0,29.0,66.0,41.0,38.0,38.0,50.0,0.0,37.0,2023.0,17.0,2023.0,2.81,2023.0,-31811.0
Honduras,9905000,Americas,7.0,69000.0,66.0,41.0,66.0,58.0,33.0,62.0,45.0,54.0,50.0,64.0,0.0,47.0,2023.0,23.0,2023.0,4.98,2023.0,-5034.0
Hong Kong,7497000,Asia and the Pacific,2.8,21000.0,40.0,20.0,19.0,63.0,14.0,28.0,27.0,35.0,38.0,50.0,0.0,32.0,2023.0,75.0,2023.0,5.24,,
Hungary,9660000,Europe and Central Asia,6.6,63000.0,20.0,20.0,29.0,59.0,12.0,19.0,50.0,58.0,63.0,71.0,25.0,55.0,2023.0,42.0,2023.0,6.72,2023.0,-156677.0
Iceland,341000,Europe and Central Asia,,,,,,,,,55.0,50.0,38.0,50.0,25.0,47.0,2023.0,72.0,2023.0,9.45,2023.0,380.0
India,1380004000,Asia and the Pacific,8.0,11050000.0,46.0,48.0,40.0,55.0,80.0,56.0,36.0,58.0,75.0,50.0,0.0,46.0,2023.0,39.0,2023.0,7.18,2023.0,-486136.0
