country,"population 
(from united nations population division, world population prospects)",region,"est. prevalence of population in modern slavery (victims per 1,000 population)",est. number of people in modern slavery,factor one governance issues,factor two nourishment and access,factor three inequality,factor four disenfranchised groups,factor five effects of conflict,"final overall (normalised, weighted) vulnerability score",support survivors,%,criminal justice,%.1,coordination,%.2,neg government  complicity (1.4.3),neg state-imposed forced labour (1.8.1),address risk,%.3,supply chains,%.4,sum/104,sum neg,total,year,corruption,year_democracy,democracy score,year_gdppercapita,gdp per capita,year_lfpr,female,male,total_lfpr,year_migration,migration
"Korea, Republic of",50594000.0,Asia and the Pacific,1.9,99000,33.9,29.4,25.7,33.8,13.4,29.8,3.2,35.9,1.7,27.8,0.5,12.5,0.0,0.0,2.3,33.3,0.0,0.0,7.7,0.0,27.6,,,,,,,,,,,,
Kosovo,1905000.0,Europe and Central Asia,4.0,8000,53.1,16.0,39.3,49.7,12.0,43.8,6.0,66.7,3.1,62.7,1.5,37.5,0.0,0.0,4.2,59.5,0.0,0.0,14.8,0.0,54.8,2016.0,36.0,,,2016.0,10031.048,,,,,2016.0,-31383.0
Kuwait,3936000.0,Arab States,1.5,6000,59.7,20.1,29.3,29.3,28.5,45.9,2.6,28.7,2.0,33.9,1.0,25.0,-1.0,0.0,3.2,45.2,0.0,0.0,8.8,-1.0,27.8,2016.0,41.0,2016.0,3.85,2016.0,53476.12,2016.0,51.202,88.509,74.608,2016.0,-90785.0
Kyrgyzstan,5865000.0,Europe and Central Asia,4.1,24000,49.6,19.7,35.4,42.6,23.2,42.8,3.0,33.0,2.9,48.3,2.3,56.3,-1.0,0.0,4.3,61.9,0.0,0.0,12.5,-1.0,40.9,2016.0,28.0,2016.0,4.93,2016.0,4912.3823,,,,,,
Lao People's Democratic Republic,6664000.0,Asia and the Pacific,9.4,62000,70.7,35.1,26.4,41.2,13.9,57.5,3.5,38.9,2.2,36.7,2.0,50.0,-1.0,0.0,2.8,40.5,0.0,0.0,10.5,-1.0,34.0,,,,,,,,,,,,
Latvia,1993000.0,Europe and Central Asia,3.9,8000,31.7,15.9,23.8,44.0,10.3,24.6,4.2,47.0,3.7,61.7,3.8,93.8,0.0,0.0,5.0,71.4,0.4,18.3,17.1,0.0,60.9,2016.0,57.0,2016.0,7.31,2016.0,27509.336,2016.0,74.449,79.144,76.734,2016.0,-10340.0
Lebanon,5851000.0,Arab States,1.7,10000,59.1,22.6,48.1,44.8,47.8,58.9,3.1,33.9,1.8,30.0,1.3,31.3,0.0,0.0,2.7,38.1,0.0,0.0,8.8,0.0,31.3,2016.0,28.0,2016.0,4.86,2016.0,17227.504,2016.0,29.939,73.116,51.32,2016.0,-228173.0
Lesotho,2175000.0,Africa,4.2,9000,53.8,50.7,44.6,41.9,18.6,58.3,3.2,35.9,2.2,37.2,2.3,56.3,0.0,0.0,3.0,42.9,0.0,0.0,10.7,0.0,38.3,2016.0,39.0,2016.0,6.59,2016.0,2687.4863,2016.0,59.455,73.826,66.581,2016.0,-3861.0
Liberia,4500000.0,Africa,7.4,33000,55.0,44.0,44.1,54.9,18.2,59.3,2.5,28.0,1.6,26.7,1.3,31.3,0.0,0.0,3.5,50.0,0.0,0.0,8.9,0.0,31.7,2016.0,37.0,2016.0,5.31,2016.0,1525.458,2016.0,73.488,82.605,77.982,2016.0,-26822.0
Libya,6235000.0,Africa,7.7,48000,81.4,23.0,49.6,28.1,63.1,73.1,0.0,0.0,1.3,21.7,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.3,-2.0,-2.5,2016.0,14.0,2016.0,2.25,2016.0,18554.48,2016.0,36.614,64.735,50.874,2016.0,-5081.0
Lithuania,2932000.0,Europe and Central Asia,5.8,17000,29.2,15.4,35.6,46.3,9.7,26.2,4.2,46.3,3.8,62.8,2.8,68.8,0.0,0.0,5.5,78.6,0.4,18.3,16.6,0.0,59.1,2016.0,59.0,2016.0,7.47,2016.0,31925.803,2016.0,74.054,77.42,75.703,2016.0,-17334.0
Luxembourg,567000.0,Europe and Central Asia,1.5,"<1,000",17.7,13.7,24.5,12.1,14.3,8.4,4.3,47.4,2.0,33.9,2.8,68.8,0.0,0.0,3.5,50.0,0.2,8.3,12.7,0.0,45.4,2016.0,81.0,2016.0,8.81,2016.0,116283.7,2016.0,65.601,75.547,70.678,2016.0,12535.0
"Macedonia, the former Yugoslav Republic of",2079000.0,Europe and Central Asia,8.7,18000,48.4,17.4,42.5,50.6,27.3,45.6,6.3,70.4,4.0,67.2,3.0,75.0,0.0,0.0,4.3,61.9,0.0,0.0,17.7,0.0,63.2,,,,,,,,,,,,
Madagascar,24234000.0,Africa,7.5,182000,54.4,46.8,51.0,56.8,17.3,62.0,3.5,38.7,3.2,52.8,0.8,18.8,-1.0,-1.0,3.5,50.0,0.0,0.0,10.9,-2.0,31.8,2016.0,26.0,2016.0,5.07,2016.0,1528.5618,2016.0,84.663,89.569,87.119,2016.0,485.0
Malawi,17574000.0,Africa,7.5,131000,55.4,51.5,40.9,61.5,19.1,63.4,3.0,33.1,1.4,23.9,1.8,43.8,-1.0,0.0,2.3,33.3,0.0,0.0,8.5,-1.0,26.8,2016.0,31.0,2016.0,5.55,2016.0,1437.0421,2016.0,65.16,73.751,69.281,2016.0,-5498.0
Malaysia,30723000.0,Asia and the Pacific,6.9,212000,36.2,28.4,39.6,41.2,27.8,39.2,3.6,40.0,3.2,53.9,2.3,56.3,-1.0,0.0,2.7,38.1,0.0,0.0,11.8,-1.0,38.4,2016.0,49.0,2016.0,6.54,2016.0,24859.797,2016.0,54.457,80.582,67.918,2016.0,97737.0
Mali,17468000.0,Africa,3.6,62000,55.3,24.4,35.5,35.9,66.3,55.9,3.5,38.9,2.1,35.6,2.0,50.0,0.0,-1.0,2.0,28.6,0.0,0.0,9.6,-1.0,30.8,2016.0,32.0,2016.0,5.7,2016.0,2112.187,2016.0,61.642,81.633,71.77,2016.0,-30294.0
Malta,428000.0,Europe and Central Asia,,,,,,,,,,,,,,,,,,,,,,,,2016.0,55.0,2016.0,8.39,2016.0,40318.957,2016.0,58.138,82.713,70.96,2016.0,10239.0
Mauritania,4182000.0,Africa,21.4,90000,67.3,33.7,39.3,50.5,22.3,62.0,0.6,6.5,1.5,25.0,0.8,18.8,-1.0,0.0,2.5,35.7,0.0,0.0,5.3,-1.0,15.5,2016.0,27.0,2016.0,3.96,2016.0,5080.807,2016.0,27.362,59.551,42.696,2016.0,-3009.0
Mauritius,1259000.0,Africa,1.0,1000,25.5,17.7,33.6,31.1,12.2,21.2,3.9,43.7,2.3,38.9,0.0,0.0,0.0,0.0,3.5,50.0,0.0,0.0,9.8,0.0,34.9,2016.0,54.0,2016.0,8.28,2016.0,21324.064,2016.0,51.064,80.176,65.67,2016.0,-2558.0
Mexico,125891000.0,Americas,2.7,341000,47.3,23.7,59.0,37.8,68.8,57.3,4.8,53.7,3.8,62.8,2.3,56.3,-1.0,0.0,4.8,69.0,0.0,0.0,15.7,-1.0,52.4,2016.0,30.0,2016.0,6.47,2016.0,20423.559,2016.0,47.111,82.143,64.112,2016.0,33094.0
"Moldova, Republic of",4066000.0,Europe and Central Asia,5.5,22000,42.0,22.9,35.3,58.3,18.1,41.6,5.3,58.5,3.7,61.1,2.5,62.5,0.0,0.0,4.2,59.5,0.0,0.0,15.6,0.0,55.7,,,,,,,,,,,,
Mongolia,2977000.0,Asia and the Pacific,12.3,37000,40.9,36.8,35.1,47.1,18.1,43.5,2.5,27.8,2.0,33.3,1.3,31.3,0.0,-1.0,3.8,54.8,0.0,0.0,9.6,-1.0,30.7,2016.0,38.0,2016.0,6.62,2016.0,11058.95,2016.0,55.979,67.269,61.579,2016.0,7470.0
Montenegro,628000.0,Europe and Central Asia,5.9,4000,39.4,15.0,37.4,50.9,18.3,35.8,7.1,79.3,4.2,70.0,2.3,56.3,0.0,0.0,4.3,61.9,0.0,0.0,17.9,0.0,64.0,2016.0,45.0,2016.0,5.72,2016.0,18798.021,2016.0,58.382,71.321,64.811,2016.0,-2111.0
Morocco,34803000.0,Africa,2.4,85000,60.7,18.8,38.1,35.7,22.0,48.3,0.6,6.5,3.4,56.7,1.3,31.3,0.0,0.0,5.0,71.4,0.0,0.0,10.2,0.0,36.5,2016.0,37.0,2016.0,4.77,2016.0,7632.1855,2016.0,24.813,73.529,49.305,2016.0,-57256.0
Mozambique,28011000.0,Africa,5.4,152000,48.6,48.3,40.5,48.1,30.0,57.0,5.2,57.6,3.0,49.4,1.3,31.3,-1.0,0.0,3.0,42.9,0.0,0.0,12.4,-1.0,40.7,2016.0,27.0,2016.0,4.02,2016.0,1298.1354,2016.0,78.572,79.899,79.214,2016.0,77168.0
Myanmar,52404000.0,Asia and the Pacific,11.0,575000,58.1,43.8,26.1,46.0,70.2,65.9,5.2,58.0,1.1,18.3,1.8,43.8,-1.0,-1.0,3.0,42.9,0.0,0.0,11.1,-2.0,32.4,2016.0,28.0,2016.0,4.2,2016.0,4433.664,2016.0,53.177,81.67,67.402,2016.0,-87935.0
Namibia,2426000.0,Africa,3.3,8000,44.6,38.4,55.9,38.8,10.4,48.1,3.1,34.1,1.7,27.8,0.8,18.8,0.0,0.0,3.8,54.8,0.0,0.0,9.3,0.0,33.3,2016.0,52.0,2016.0,6.31,2016.0,10627.635,2016.0,58.097,67.443,62.596,2016.0,-8596.0
Nauru,,Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016.0,10223.102,,,,,2016.0,-31.0
Nepal,28656000.0,Asia and the Pacific,6.0,171000,52.0,35.6,32.2,8.7,34.7,44.1,3.2,35.2,2.5,41.7,2.0,50.0,-1.0,0.0,4.2,59.5,0.0,0.0,11.8,-1.0,38.7,2016.0,29.0,2016.0,4.86,2016.0,3244.6743,2016.0,28.742,57.567,42.005,2016.0,-98016.0
Netherlands,16938000.0,Europe and Central Asia,1.8,30000,12.8,13.6,26.0,16.0,12.2,6.1,6.5,72.2,4.3,72.2,3.0,75.0,0.0,0.0,6.5,92.9,0.7,36.7,21.1,0.0,75.2,2016.0,83.0,2016.0,8.8,2016.0,53847.83,2016.0,75.571,84.378,80.001,2016.0,59528.0
New Zealand,4615000.0,Asia and the Pacific,0.6,3000,12.2,18.4,16.2,7.0,7.0,1.9,4.8,53.7,2.9,47.8,1.8,43.8,0.0,0.0,6.7,95.2,0.0,0.0,16.1,0.0,57.6,2016.0,90.0,2016.0,9.26,2016.0,41628.4,2016.0,75.619,85.336,80.395,2016.0,50012.0
Nicaragua,6082000.0,Americas,2.9,18000,48.2,24.5,43.3,35.3,22.8,43.9,3.1,34.4,4.2,70.0,1.0,25.0,0.0,0.0,4.7,66.7,0.0,0.0,13.0,0.0,46.3,2016.0,26.0,2016.0,4.81,2016.0,5734.3677,2016.0,51.218,84.468,67.51,2016.0,-23081.0
Niger,19897000.0,Africa,6.7,133000,61.9,41.2,37.0,45.0,50.4,65.6,2.6,29.1,2.1,35.6,1.0,25.0,-1.0,0.0,2.5,35.7,0.0,0.0,8.3,-1.0,25.9,2016.0,35.0,2016.0,3.96,2016.0,1143.8174,2016.0,63.531,85.164,74.555,2016.0,14833.0
Nigeria,181182000.0,Africa,7.7,1386000,54.1,41.3,50.2,47.1,95.5,74.1,5.3,58.9,3.2,53.3,2.0,50.0,-1.0,0.0,3.3,47.6,0.0,0.0,13.8,-1.0,45.8,2016.0,28.0,2016.0,4.5,2016.0,5209.074,2016.0,54.183,64.534,59.399,2016.0,-54315.0
Norway,5200000.0,Europe and Central Asia,1.8,9000,15.7,17.8,13.1,9.4,10.8,4.5,6.1,68.1,5.0,82.8,2.3,56.3,0.0,0.0,5.2,73.8,0.2,10.0,18.7,0.0,66.8,2016.0,85.0,2016.0,9.93,2016.0,63547.688,2016.0,75.823,80.02,77.975,2016.0,26425.0
Oman,4200000.0,Arab States,2.1,9000,68.7,20.5,37.8,33.4,6.4,50.1,2.9,32.4,1.4,22.8,0.5,12.5,0.0,0.0,4.2,59.5,0.0,0.0,9.0,0.0,32.0,2016.0,45.0,2016.0,3.04,2016.0,35229.953,2016.0,31.836,89.712,72.228,2016.0,118472.0
Pakistan,189381000.0,Asia and the Pacific,16.8,3186000,56.8,36.2,45.9,55.3,92.8,74.1,1.9,21.5,0.9,15.6,0.5,12.5,-1.0,0.0,2.8,40.5,0.0,0.0,6.2,-1.0,18.6,2016.0,32.0,2016.0,4.33,2016.0,4746.718,2016.0,24.296,81.408,53.389,2016.0,-2290411.0
Palau,,Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016.0,18364.799,,,,,2016.0,8.0
Panama,3969000.0,Americas,2.1,8000,44.2,21.0,42.6,33.1,9.4,36.4,2.9,32.6,3.6,60.0,1.3,31.3,-1.0,0.0,5.5,78.6,0.0,0.0,13.3,-1.0,43.9,2016.0,38.0,2016.0,7.13,2016.0,30481.771,2016.0,54.893,81.535,68.243,2016.0,10109.0
Papua New Guinea,7920000.0,Asia and the Pacific,10.3,81000,64.8,63.3,46.2,9.5,13.3,61.9,2.4,26.5,1.8,30.6,0.3,6.3,-1.0,0.0,1.8,26.2,0.0,0.0,6.3,-1.0,18.9,2016.0,28.0,2016.0,6.03,2016.0,3924.4238,2016.0,47.878,49.453,48.692,2016.0,28474.0
Paraguay,6639000.0,Americas,1.6,11000,38.3,21.0,64.7,32.7,22.7,40.9,2.4,26.1,3.4,56.7,1.5,37.5,-1.0,0.0,5.0,71.4,0.2,10.0,12.5,-1.0,40.9,2016.0,30.0,2016.0,6.27,2016.0,13163.74,2016.0,59.885,86.404,73.202,2016.0,-16734.0
Peru,31377000.0,Americas,2.6,80000,44.3,24.7,48.0,38.2,27.5,44.3,6.8,75.9,2.5,42.2,2.5,62.5,-1.0,0.0,3.8,54.8,0.0,0.0,15.7,-1.0,52.5,2016.0,35.0,2016.0,6.65,2016.0,12321.318,2016.0,71.735,86.357,78.949,2016.0,80725.0
Philippines,101716000.0,Asia and the Pacific,7.7,784000,50.5,35.3,45.7,36.4,69.3,60.2,4.6,51.5,4.2,69.4,2.0,50.0,0.0,0.0,4.8,69.0,0.0,0.0,15.6,0.0,55.8,2016.0,35.0,2016.0,6.94,2016.0,7616.05,2016.0,49.788,76.849,63.517,2016.0,79051.0
Poland,38265000.0,Europe and Central Asia,3.4,128000,24.5,13.7,27.5,59.6,13.6,24.4,4.8,53.3,2.5,42.2,2.8,68.8,0.0,0.0,4.8,69.0,0.2,8.3,15.1,0.0,53.9,2016.0,62.0,2016.0,6.83,2016.0,28497.104,2016.0,62.267,75.903,69.074,2016.0,-1967.0
Portugal,10418000.0,Europe and Central Asia,2.5,26000,12.2,15.6,31.7,20.7,9.7,8.5,5.6,62.6,4.2,69.4,2.8,68.8,0.0,0.0,5.8,83.3,0.2,8.3,18.6,0.0,66.3,2016.0,62.0,2016.0,7.86,2016.0,31847.537,2016.0,70.563,77.148,73.749,2016.0,-8128.0
Qatar,2482000.0,Arab States,1.5,4000,56.3,13.8,29.5,33.4,7.0,37.7,4.8,53.0,1.9,31.7,1.3,31.3,-1.0,0.0,3.0,42.9,0.0,0.0,10.9,-1.0,35.4,2016.0,61.0,2016.0,3.18,2016.0,97783.12,2016.0,57.971,96.014,88.179,2016.0,138455.0
Romania,19877000.0,Europe and Central Asia,4.3,86000,35.8,19.5,32.6,52.0,16.1,33.9,4.8,53.3,3.1,52.2,2.0,50.0,-1.0,0.0,3.0,42.9,0.4,18.3,13.3,-1.0,43.9,2016.0,48.0,2016.0,6.62,2016.0,24758.818,2016.0,56.038,74.795,65.406,2016.0,-64002.0
Russian Federation,143888000.0,Europe and Central Asia,5.5,794000,59.3,13.5,38.6,34.1,51.9,51.6,1.5,17.0,1.9,32.2,1.5,37.5,-1.0,-1.0,2.8,40.5,0.0,0.0,7.8,-2.0,20.7,,,,,,,2016.0,69.112,80.177,74.422,2016.0,373316.0
Rwanda,11630000.0,Africa,11.6,134000,56.6,40.8,40.0,55.7,34.0,61.7,3.3,36.9,2.5,41.7,1.8,43.8,-1.0,-1.0,3.8,54.8,0.0,0.0,11.4,-2.0,33.6,2016.0,54.0,2016.0,3.07,2016.0,1908.552,2016.0,56.714,68.335,62.294,2016.0,-2605.0
Saint Kitts and Nevis,,Americas,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016.0,29310.443,,,,,,
Saint Lucia,177000.0,Americas,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016.0,14810.646,,,,,,
Saint Vincent and the Grenadines,109000.0,Americas,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016.0,13316.229,,,,,,
Samoa,194000.0,Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016.0,6214.8228,2016.0,43.865,69.36,56.941,2016.0,-2772.0
Saudi Arabia,31557000.0,Arab States,1.9,61000,63.2,21.9,30.1,14.2,32.2,46.3,2.9,32.4,2.6,42.8,1.5,37.5,-1.0,0.0,1.8,26.2,0.0,0.0,8.8,-1.0,27.9,2016.0,46.0,2016.0,1.93,2016.0,48691.27,2016.0,24.186,81.414,58.813,2016.0,171429.0
Senegal,14977000.0,Africa,2.9,43000,43.9,34.8,35.6,41.0,30.9,46.2,4.5,49.6,2.6,43.9,2.3,56.3,0.0,0.0,3.8,54.8,0.0,0.0,13.2,0.0,47.1,2016.0,45.0,2016.0,6.21,2016.0,3118.0244,2016.0,40.306,63.556,51.524,2016.0,-24720.0
Serbia,8851000.0,Europe and Central Asia,3.3,30000,39.1,15.2,31.6,40.9,27.5,33.9,5.8,63.9,4.5,75.0,2.3,56.3,0.0,0.0,4.8,69.0,0.0,0.0,17.3,0.0,61.9,2016.0,42.0,2016.0,6.57,2016.0,16182.934,2016.0,58.658,73.772,66.111,2016.0,5901.0
Seychelles,94000.0,Africa,,,,,,,,,,,,,,,,,,,,,,,,2016.0,,,,2016.0,26923.008,,,,,2016.0,251.0
Sierra Leone,7237000.0,Africa,5.0,36000,50.9,46.1,41.2,48.1,18.1,55.2,4.8,53.7,2.3,37.8,2.0,50.0,0.0,0.0,3.8,54.8,0.0,0.0,13.5,0.0,46.2,2016.0,30.0,2016.0,4.55,2016.0,1573.5012,2016.0,55.393,57.437,56.415,2016.0,4657.0
Singapore,5535000.0,Asia and the Pacific,3.4,19000,30.8,16.3,5.0,18.7,9.0,13.4,3.6,40.0,1.3,22.2,1.3,31.3,0.0,0.0,3.0,42.9,0.0,0.0,9.2,0.0,32.8,2016.0,84.0,2016.0,6.38,2016.0,91270.64,2016.0,68.65,83.038,76.317,2016.0,36498.0
Slovakia,5439000.0,Europe and Central Asia,2.9,16000,29.9,15.1,29.9,51.2,14.2,27.2,4.4,48.7,3.1,52.2,2.5,62.5,0.0,0.0,4.5,64.3,0.4,18.3,14.9,0.0,53.2,,,2016.0,7.29,2016.0,29327.516,,,,,,
Slovenia,2075000.0,Europe and Central Asia,2.2,5000,22.4,16.6,30.6,45.6,6.4,20.1,5.4,60.4,3.5,57.8,2.3,56.3,0.0,0.0,5.2,73.8,0.4,18.3,16.7,0.0,59.6,2016.0,61.0,2016.0,7.51,2016.0,34853.043,2016.0,68.456,73.923,71.278,2016.0,7684.0
Solomon Islands,587000.0,Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,,,,2016.0,42.0,,,2016.0,2609.79,2016.0,84.083,86.826,85.47,2016.0,-1603.0
Somalia,13908000.0,Africa,15.5,216000,80.6,56.8,49.6,22.7,88.4,89.5,0.7,8.1,1.2,20.6,1.0,25.0,-1.0,0.0,2.5,35.7,0.0,0.0,5.5,-1.0,16.0,2016.0,10.0,,,2016.0,1479.9875,2016.0,21.726,48.641,35.136,2016.0,124017.0
South Africa,55291000.0,Africa,2.8,155000,46.7,38.3,61.0,36.9,26.9,53.8,4.8,53.7,3.7,61.7,1.8,43.8,-1.0,0.0,4.0,57.1,0.0,0.0,14.3,-1.0,47.4,2016.0,45.0,2016.0,7.41,2016.0,13844.276,2016.0,55.56,68.275,61.764,2016.0,-866101.0
South Sudan,11882000.0,Africa,20.5,243000,75.7,51.1,62.9,56.1,85.7,94.7,,,,,,,,,,,,,,,,2016.0,11.0,,,,,2016.0,71.492,71.986,71.733,2016.0,-655870.0
Spain,46398000.0,Europe and Central Asia,2.3,105000,17.2,18.3,33.5,15.1,14.2,12.8,7.1,79.3,3.9,65.6,2.5,62.5,0.0,0.0,5.2,73.8,0.0,0.0,18.7,0.0,66.9,2016.0,58.0,2016.0,8.3,2016.0,38497.484,2016.0,69.187,79.26,74.246,2016.0,89021.0
Sri Lanka,20714000.0,Asia and the Pacific,2.1,44000,44.1,27.0,33.5,34.9,35.9,42.5,2.4,26.7,2.6,42.8,1.0,25.0,-1.0,0.0,5.5,78.6,0.0,0.0,11.5,-1.0,37.4,2016.0,36.0,2016.0,6.48,2016.0,12770.843,2016.0,39.093,78.213,58.031,2016.0,-98896.0
Sudan,38648000.0,Africa,12.0,465000,80.7,46.6,42.4,37.0,87.4,87.1,0.3,2.8,1.6,26.7,1.0,25.0,-1.0,0.0,2.3,33.3,0.0,0.0,5.2,-1.0,14.9,2016.0,14.0,2016.0,2.37,2016.0,4733.0176,2016.0,29.57,70.133,49.67,2016.0,97646.0
Suriname,553000.0,Americas,2.3,1000,55.5,10.7,50.8,28.1,16.3,42.1,2.2,24.3,0.3,5.6,1.3,31.3,0.0,0.0,3.8,54.8,0.0,0.0,7.6,0.0,27.1,2016.0,45.0,2016.0,6.77,2016.0,17662.473,2016.0,49.998,72.453,61.33,2016.0,-910.0
Swaziland,1319000.0,Africa,8.8,12000,69.9,50.0,39.4,38.8,11.7,64.8,3.3,36.3,1.1,18.3,1.5,37.5,0.0,-1.0,3.3,47.6,0.0,0.0,9.2,-1.0,29.3,,,,,,,,,,,,
Sweden,9764000.0,Europe and Central Asia,1.6,15000,10.2,17.0,17.4,13.0,18.3,4.3,6.6,73.1,3.9,64.4,3.3,81.3,0.0,0.0,5.2,73.8,0.4,18.3,19.2,0.0,68.7,2016.0,88.0,2016.0,9.39,2016.0,51334.434,2016.0,80.176,83.797,82.024,2016.0,79667.0
Switzerland,8320000.0,Europe and Central Asia,1.7,14000,11.6,12.2,15.2,20.1,4.9,1.5,6.0,66.7,3.6,60.6,1.5,37.5,0.0,0.0,5.7,81.0,0.0,0.0,16.8,0.0,60.0,2016.0,86.0,2016.0,9.09,2016.0,67907.39,2016.0,79.339,88.023,83.729,2016.0,70637.0
Syrian Arab Republic,18735000.0,Arab States,7.3,136000,85.6,36.9,62.5,33.4,95.4,92.3,,,,,,,,,,,,,,,,,,,,,,2016.0,14.632,65.892,40.272,2016.0,-133823.0
"Taiwan, China",23486000.0,Asia and the Pacific,0.5,12000,24.5,24.7,40.6,21.1,1.4,20.3,4.2,46.9,1.9,38.7,1.0,25.0,0.0,0.0,3.0,42.9,0.2,8.3,10.3,0.0,38.2,2016.0,61.0,,,,,,,,,,
Tajikistan,8549000.0,Europe and Central Asia,4.5,39000,67.4,30.9,32.8,27.8,30.1,55.8,3.5,38.9,2.2,36.1,1.8,43.8,-1.0,0.0,2.8,40.5,0.0,0.0,10.3,-1.0,33.0,2016.0,25.0,2016.0,1.89,2016.0,3091.224,2016.0,33.452,53.763,43.536,2016.0,-16029.0
"Tanzania, United Republic of",53880000.0,Africa,6.2,336000,55.5,47.3,34.9,52.7,29.1,60.5,3.4,37.2,2.5,41.7,1.0,25.0,-1.0,0.0,3.3,47.6,0.0,0.0,10.2,-1.0,32.8,,,,,,,,,,,,
Thailand,68658000.0,Asia and the Pacific,8.9,610000,50.9,21.8,35.3,45.1,51.9,51.1,4.2,46.3,3.1,51.7,2.3,56.3,-1.0,0.0,5.2,73.8,0.0,0.0,14.7,-1.0,48.9,2016.0,35.0,2016.0,4.92,2016.0,16393.314,2016.0,67.715,82.975,75.189,2016.0,76693.0
Timor-Leste,1241000.0,Asia and the Pacific,7.7,10000,58.4,41.9,37.2,41.2,3.9,52.8,3.0,33.1,1.0,16.7,1.0,25.0,0.0,0.0,3.0,42.9,0.0,0.0,8.0,0.0,28.5,2016.0,35.0,,,,,2016.0,61.494,72.643,67.164,2016.0,-5475.0
Togo,7417000.0,Africa,6.8,50000,70.0,31.5,45.3,42.3,17.1,61.3,2.6,28.7,1.3,21.1,1.3,31.3,0.0,0.0,1.5,21.4,0.0,0.0,6.6,0.0,23.6,2016.0,32.0,2016.0,3.32,2016.0,1941.6276,2016.0,56.689,61.358,59.033,2016.0,-1988.0
Tonga,106000.0,Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016.0,6039.1587,2016.0,45.315,67.96,56.412,2016.0,-2206.0
Trinidad and Tobago,1360000.0,Americas,3.0,4000,38.6,13.0,62.4,47.8,13.7,39.1,6.1,67.2,3.0,50.0,1.3,31.3,-1.0,0.0,4.7,66.7,0.0,0.0,15.0,-1.0,49.9,2016.0,35.0,2016.0,7.1,2016.0,27992.12,2016.0,56.151,75.513,65.756,2016.0,-103.0
Tunisia,11274000.0,Africa,2.2,25000,47.2,15.4,34.8,31.9,33.7,39.2,4.8,53.0,1.9,31.7,1.8,43.8,0.0,0.0,4.0,57.1,0.0,0.0,12.4,0.0,44.3,2016.0,41.0,2016.0,6.4,2016.0,10751.397,2016.0,29.595,74.471,51.722,2016.0,-23826.0
Turkey,78271000.0,Europe and Central Asia,6.5,509000,47.0,22.2,47.0,48.6,47.9,51.6,6.0,66.7,3.4,57.2,1.5,37.5,0.0,0.0,2.3,33.3,0.0,0.0,13.3,0.0,47.4,,,2016.0,5.04,2016.0,26568.02,,,,,,
Turkmenistan,5565000.0,Europe and Central Asia,11.2,62000,80.2,21.5,31.4,32.6,15.9,58.1,1.6,17.8,2.4,40.0,1.3,31.3,-1.0,-1.0,4.3,61.9,0.0,0.0,9.6,-2.0,27.1,2016.0,22.0,2016.0,1.83,2016.0,13086.014,2016.0,52.392,48.988,50.715,2016.0,-9616.0
Tuvalu,,Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016.0,4126.0093,,,,,2016.0,-170.0
Uganda,40145000.0,Africa,7.6,304000,52.8,48.3,38.2,50.3,35.3,60.8,4.3,48.1,3.1,51.7,1.5,37.5,-1.0,0.0,3.8,54.8,0.0,0.0,12.8,-1.0,42.0,2016.0,25.0,2016.0,5.26,2016.0,2137.2073,2016.0,67.869,74.114,70.923,2016.0,123381.0
Ukraine,44658000.0,Europe and Central Asia,6.4,286000,54.0,15.9,46.4,39.0,62.2,54.4,5.9,65.7,2.8,46.1,2.5,62.5,-1.0,0.0,4.7,66.7,0.0,0.0,15.9,-1.0,53.0,2016.0,29.0,2016.0,5.7,2016.0,11536.316,2016.0,63.277,72.378,67.66,2016.0,-54333.0
United Arab Emirates,9154000.0,Arab States,1.7,15000,47.9,15.1,24.7,7.8,11.9,26.8,5.7,63.0,2.5,41.1,2.3,56.3,0.0,0.0,3.0,42.9,0.0,0.0,13.4,0.0,47.8,2016.0,66.0,2016.0,2.75,2016.0,71244.586,2016.0,51.709,91.991,81.627,2016.0,-13520.0
UK,65397000.0,Europe and Central Asia,2.1,136000,15.9,15.6,25.1,12.4,27.8,11.1,7.4,82.0,4.3,73.9,2.5,62.5,0.0,0.0,5.2,73.8,0.5,26.7,20.2,0.0,71.5,2016.0,81.0,2016.0,8.36,2016.0,45162.996,2016.0,72.639,82.449,77.53,2016.0,246940.0
USA,319929000.0,Americas,1.3,403000,18.3,18.2,30.3,15.6,28.6,15.9,8.3,92.6,4.5,75.6,2.3,56.3,0.0,-1.0,4.7,66.7,1.3,65.0,21.1,-1.0,71.7,2016.0,74.0,2016.0,7.98,2016.0,58965.99,2016.0,66.08,77.354,71.721,2016.0,1449371.0
