prevalence_per_1000,total_victims,governance_score,basic_needs_score,inequality_score,disenfranchised_score,conflict_score,vulnerability_total,victim_support_score,justice_score,coordination_score,risk_address_score,supply_chain_score,government_response_total,country,population,region,corruption_score,democracy_score,migration_rate,year
6.4,66000.0,17.0,22.0,32.0,52.0,31.0,21.0,68.0,62.0,75.0,64.0,25.0,62.0,Greece,10423000,Europe and Central Asia,49.0,8.14,5000.0,2023
7.8,140000.0,54.0,42.0,68.0,65.0,29.0,57.0,59.0,50.0,63.0,43.0,0.0,47.0,Guatemala,17916000,Americas,23.0,4.47,-9110.0,2023
4.0,53000.0,75.0,46.0,50.0,74.0,21.0,66.0,36.0,50.0,38.0,29.0,0.0,36.0,Guinea,13133000,Africa,26.0,2.21,-4000.0,2023
4.5,9000.0,83.0,75.0,63.0,70.0,11.0,80.0,32.0,35.0,25.0,57.0,0.0,33.0,Guinea-Bissau,1968000,Africa,22.0,2.45,-1400.0,2023
4.2,3000.0,45.0,24.0,61.0,61.0,10.0,41.0,50.0,65.0,63.0,50.0,0.0,51.0,Guyana,787000,Americas,40.0,6.26,-3900.0,2023
8.2,94000.0,62.0,58.0,54.0,76.0,29.0,66.0,41.0,38.0,38.0,50.0,0.0,37.0,Haiti,11403000,Americas,17.0,2.81,-31811.0,2023
7.0,69000.0,66.0,41.0,66.0,58.0,33.0,62.0,45.0,54.0,50.0,64.0,0.0,47.0,Honduras,9905000,Americas,23.0,4.98,-5034.0,2023
6.6,63000.0,20.0,20.0,29.0,59.0,12.0,19.0,50.0,58.0,63.0,71.0,25.0,55.0,Hungary,9660000,Europe and Central Asia,42.0,6.72,-156677.0,2023
5.45,69000.0,49.0,34.5,41.0,63.0,24.0,47.5,55.0,50.0,38.0,50.0,25.0,47.0,Iceland,341000,Europe and Central Asia,72.0,9.45,380.0,2023
8.0,11050000.0,46.0,48.0,40.0,55.0,80.0,56.0,36.0,58.0,75.0,50.0,0.0,46.0,India,1380004000,Asia and the Pacific,39.0,7.18,-486136.0,2023
6.7,1833000.0,35.0,48.0,46.0,77.0,39.0,49.0,45.0,65.0,50.0,57.0,0.0,50.0,Indonesia,273524000,Asia and the Pacific,34.0,6.53,-49997.0,2023
5.5,221000.0,78.0,44.0,63.0,78.0,83.0,82.0,41.0,38.0,38.0,29.0,0.0,33.0,Iraq,40223000,Arab States,23.0,2.88,-6000.0,2023
1.1,5000.0,14.0,25.0,27.0,18.0,18.0,9.0,59.0,69.0,88.0,64.0,25.0,63.0,Ireland,4938000,Europe and Central Asia,77.0,9.19,9999.0,2023
3.8,33000.0,46.0,32.0,28.0,44.0,25.0,35.0,41.0,50.0,63.0,57.0,0.0,45.0,Israel,8656000,Europe and Central Asia,62.0,7.8,9999.0,2023
3.3,197000.0,22.0,24.0,38.0,39.0,26.0,22.0,50.0,65.0,63.0,79.0,25.0,59.0,Italy,60462000,Europe and Central Asia,56.0,7.69,58496.0,2023
7.3,22000.0,39.0,38.0,79.0,52.0,12.0,45.0,41.0,62.0,88.0,57.0,0.0,51.0,Jamaica,2961000,Americas,44.0,7.06,-10999.0,2023
1.1,144000.0,17.0,20.0,17.0,40.0,19.0,11.0,45.0,42.0,63.0,57.0,0.0,44.0,Japan,126476000,Asia and the Pacific,73.0,8.4,99994.0,2023
10.0,102000.0,51.0,38.0,35.0,80.0,27.0,49.0,50.0,54.0,50.0,50.0,0.0,46.0,Jordan,10203000,Arab States,46.0,3.04,-157392.0,2023
11.1,208000.0,54.0,21.0,36.0,68.0,21.0,42.0,45.0,50.0,50.0,64.0,0.0,46.0,Kazakhstan,18777000,Europe and Central Asia,39.0,3.08,0.0,2023
5.0,269000.0,57.0,57.0,48.0,68.0,63.0,66.0,55.0,50.0,50.0,50.0,0.0,46.0,Kenya,53771000,Africa,31.0,5.05,-10000.0,2023
