country,population,region,"est. prevalence of population in modern slavery (victims per 1,000 population)",est. number of people in modern slavery,factor one governance issues,factor two nourishment and access,factor three inequality,factor four disenfranchised groups,factor five effects of conflict,"final overall (normalised, weighted) vulnerability score",support survivors,%,criminal justice,%.1,coordination,%.2,neg government  complicity (1.4.3),neg state-imposed forced labour (1.8.1),address risk,%.3,supply chains,%.4,sum/104,sum neg,total,credit rating,year,corruption,year_democracy,democracy score,year_gdppercapita,gdp per capita,year_lfpr,female,male,total_lfpr,year_migration,migration
Ecuador,16144000.0,Americas,2.4,39000,46.0,23.0,46.4,29.1,23.0,41.3,5.5,61.1,3.3,55.6,1.5,37.5,-1.0,0.0,3.7,52.4,0.0,0.0,14.0,-1.0,46.4,B,2018.0,34.0,2018.0,6.27,2018.0,11608.419,2018.0,57.445,81.602,69.538,2018.0,153372.0
Egypt,93778000.0,Africa,5.5,518000,61.6,18.4,44.2,52.8,51.1,60.4,3.4,37.6,1.8,30.6,2.5,62.5,0.0,-1.0,4.5,64.3,0.0,0.0,12.2,-1.0,40.1,B,2018.0,35.0,2018.0,3.36,2018.0,11363.318,,,,,,
El Salvador,6312000.0,Americas,2.5,16000,50.5,23.0,59.8,43.6,22.7,50.7,2.9,31.7,2.4,39.4,1.8,43.8,-1.0,0.0,4.5,64.3,0.0,0.0,11.5,-1.0,37.4,CCC,2018.0,35.0,2018.0,5.96,2018.0,8812.925,2018.0,48.43,78.032,62.299,2018.0,-54158.0
Equatorial Guinea,1175000.0,Africa,6.4,7000,68.4,40.8,36.7,48.5,10.1,61.7,0.3,3.7,0.7,12.2,0.5,12.5,-1.0,0.0,1.8,26.2,0.0,0.0,3.4,-1.0,8.6,D,2018.0,16.0,2018.0,1.92,2018.0,17764.969,2018.0,52.917,60.597,57.133,2018.0,15583.0
Eritrea,4847000.0,Africa,93.0,451000,71.0,50.6,33.7,48.1,25.9,69.6,0.0,0.0,-0.1,-1.1,0.0,0.0,-1.0,-1.0,1.5,21.4,0.0,0.0,1.4,-2.0,-2.0,D,2018.0,24.0,2018.0,2.37,,,2018.0,73.99,86.882,80.282,2018.0,-21435.0
Estonia,1315000.0,Europe and Central Asia,3.6,5000,35.2,13.7,27.4,52.2,12.4,29.2,3.7,41.3,2.2,36.1,1.8,43.8,0.0,0.0,5.7,81.0,0.4,18.3,13.7,0.0,48.8,B,2018.0,73.0,2018.0,7.97,2018.0,34979.867,2018.0,75.518,82.375,78.947,2018.0,7229.0
Ethiopia,99873000.0,Africa,6.1,614000,62.4,47.5,27.3,34.6,55.3,64.5,2.5,27.8,3.1,51.1,2.3,56.3,-1.0,0.0,3.3,47.6,0.0,0.0,11.2,-1.0,36.3,CCC,2018.0,34.0,2018.0,3.35,2018.0,2067.4565,2018.0,76.873,87.826,82.352,2018.0,9309.0
Fiji,892000.0,Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,,2018.0,5.85,2018.0,13311.167,2018.0,40.656,78.683,59.877,2018.0,-11738.0
Finland,5482000.0,Europe and Central Asia,1.7,9000,18.6,16.0,15.0,17.8,11.2,8.2,4.8,53.7,3.0,49.4,3.3,81.3,0.0,0.0,5.0,71.4,0.2,8.3,16.2,0.0,57.9,BB,2018.0,85.0,2018.0,9.14,2018.0,48048.523,2018.0,76.256,79.256,77.779,2018.0,11646.0
France,64457000.0,Europe and Central Asia,2.0,129000,17.3,15.4,29.4,21.2,28.5,15.3,3.8,42.4,4.3,71.7,3.8,93.8,0.0,0.0,5.0,71.4,0.4,18.3,17.2,0.0,61.5,BBB,2018.0,72.0,2018.0,7.8,2018.0,45245.96,2018.0,69.229,76.005,72.568,2018.0,14391.0
Gabon,1930000.0,Africa,4.8,9000,56.5,27.1,36.6,47.5,12.4,49.1,2.5,27.8,0.7,11.7,1.3,31.3,0.0,0.0,2.3,33.3,0.0,0.0,6.8,0.0,24.2,CC,2018.0,31.0,2018.0,3.61,2018.0,14254.462,2018.0,41.175,59.042,50.426,2018.0,2893.0
Gambia,1978000.0,Africa,5.8,11000,66.8,28.1,41.8,44.1,20.8,58.4,2.3,25.0,2.9,48.3,1.5,37.5,0.0,0.0,2.8,40.5,0.0,0.0,9.5,0.0,33.9,CCC,2018.0,37.0,2018.0,4.31,2018.0,2012.5908,,,,,,
Georgia,3952000.0,Europe and Central Asia,4.3,17000,41.5,19.3,33.9,43.9,31.4,39.2,6.7,74.1,3.8,63.9,2.3,56.3,0.0,0.0,4.8,69.0,0.0,0.0,17.6,0.0,62.8,BBB,2018.0,58.0,2018.0,5.5,2018.0,14253.409,2018.0,61.934,78.131,69.713,2018.0,-5174.0
Germany,81708000.0,Europe and Central Asia,2.0,167000,15.9,15.0,22.8,15.7,24.7,10.4,5.6,61.7,3.5,57.8,2.3,56.3,0.0,0.0,4.0,57.1,0.7,36.7,16.0,0.0,57.1,BB,2018.0,80.0,2018.0,8.68,2018.0,53431.395,2018.0,75.168,82.858,79.074,2018.0,392587.0
Ghana,27583000.0,Africa,4.8,133000,52.6,29.1,42.0,53.7,21.6,52.2,2.2,24.8,2.0,33.3,1.5,37.5,-1.0,0.0,2.8,40.5,0.2,8.3,8.7,-1.0,27.6,CC,2018.0,41.0,2018.0,6.63,2018.0,5125.2495,2018.0,66.854,74.422,70.609,2018.0,-19374.0
Greece,11218000.0,Europe and Central Asia,7.9,89000,38.5,14.4,36.4,56.0,23.6,37.1,6.2,68.5,4.0,66.1,1.8,43.8,0.0,0.0,3.2,45.2,0.4,18.3,15.4,0.0,55.1,BB,2018.0,45.0,2018.0,7.29,2018.0,29141.174,2018.0,59.038,74.901,66.903,2018.0,-23600.0
Grenada,107000.0,Americas,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,52.0,,,2018.0,15401.78,,,,,2018.0,-190.0
Guatemala,16252000.0,Americas,2.9,47000,51.0,25.8,58.1,40.9,27.4,52.1,3.8,42.2,1.5,25.6,2.5,62.5,0.0,0.0,4.8,69.0,0.0,0.0,12.7,0.0,45.2,B,2018.0,27.0,2018.0,5.6,2018.0,8469.115,2018.0,40.11,85.235,62.298,2018.0,-56884.0
Guinea,12092000.0,Africa,7.8,94000,68.3,32.4,54.7,46.4,28.6,66.3,0.8,8.7,0.6,10.6,1.5,37.5,-1.0,0.0,3.5,50.0,0.0,0.0,6.4,-1.0,19.3,C,2018.0,28.0,2018.0,3.14,2018.0,2471.719,2018.0,44.854,64.526,54.402,2018.0,-9195.0
Guinea-Bissau,1771000.0,Africa,7.5,13000,77.8,40.1,47.6,44.1,17.1,70.5,0.7,7.4,1.9,31.1,1.3,31.3,0.0,0.0,1.5,21.4,0.0,0.0,5.3,0.0,18.9,C,2018.0,16.0,2018.0,1.98,2018.0,1851.8866,2018.0,49.626,64.114,56.672,2018.0,-1396.0
