prevalence_per_1000,total_victims,governance_score,basic_needs_score,inequality_score,conflict_score,vulnerability_total,victim_support_score,justice_score,coordination_score,risk_address_score,supply_chain_score,government_response_total,lfpr_female,lfpr_male,lfpr_total,country,population,corruption_score,democracy_score,gdp_per_capita,migration_rate,year
0.08,161100.0,37.98,20.46,45.88,30.74,33.77,45.6,34.4,87.5,78.6,37.5,56.8,59.202,80.537,69.736,Brazil,207848000.0,40.0,6.9,14402.494,82589.0,2016
0.4,29000.0,40.41,20.54,33.79,30.5,31.31,43.1,38.5,43.8,71.4,0.0,46.2,65.118,72.848,69.027,Bulgaria,7176000.0,41.0,7.01,20732.58,-14947.0,2016
0.64,115600.0,59.55,40.77,40.73,25.98,41.76,47.4,30.6,37.5,42.9,0.0,37.9,59.207,74.667,66.826,Burkina Faso,18106000.0,42.0,4.7,1916.7563,-7603.0,2016
0.64,71400.0,64.08,52.22,51.4,37.17,51.22,29.6,14.8,18.8,38.1,0.0,24.9,81.536,78.927,80.249,Burundi,11179000.0,20.0,2.4,764.3366,-109490.0,2016
1.65,256800.0,53.68,42.96,57.4,12.0,41.51,25.2,33.3,37.5,64.3,0.0,36.7,69.568,81.426,75.429,Cambodia,15578000.0,21.0,4.27,3761.9114,-40577.0,2016
0.63,146100.0,61.31,43.37,47.95,52.51,51.29,30.4,33.9,37.5,47.6,0.0,34.3,67.752,77.595,72.646,Cameroon,23344000.0,26.0,3.46,3667.3228,13251.0,2016
0.02,6500.0,17.59,23.64,15.48,36.11,23.21,57.4,68.5,62.5,64.3,0.0,58.1,74.844,81.81,78.344,Canada,35871000.0,82.0,9.15,47460.37,320494.0,2016
0.45,2400.0,33.33,20.3,55.4,36.34,36.34,15.2,15.4,25.0,31.0,0.0,19.5,59.207,77.42,67.918,Cape Verde,521000.0,38.0,7.94,6900.561,-946.0,2016
1.13,55400.0,83.67,48.67,85.43,62.21,70.0,14.8,17.2,12.5,7.1,0.0,12.0,63.579,78.268,70.872,Central African Republic,4900000.0,20.0,1.61,818.396,-52758.0,2016
0.64,89600.0,70.47,49.96,47.98,40.94,52.34,26.9,12.0,31.3,52.4,0.0,28.8,50.006,72.197,61.065,Chad,14037000.0,20.0,1.5,1683.4781,21546.0,2016
0.15,27700.0,31.23,19.73,34.26,31.37,29.15,44.6,52.6,50.0,69.0,0.0,50.0,54.732,76.403,65.6,Chile,17948000.0,66.0,7.78,24599.375,126525.0,2016
0.25,3388400.0,55.12,26.9,43.84,52.78,44.66,35.6,23.7,31.3,52.4,0.0,34.1,69.961,81.607,75.932,China,1371738000.0,40.0,3.14,13399.138,-153054.0,2016
0.64,308200.0,51.72,26.54,46.78,43.49,42.13,44.1,41.9,43.8,73.8,0.0,47.8,59.298,82.371,70.685,Colombia,48229000.0,37.0,6.67,14358.168,79978.0,2016
0.4,19400.0,36.35,24.4,33.82,23.97,29.64,56.5,45.6,37.5,71.4,0.0,51.1,50.945,78.865,64.983,Costa Rica,4808000.0,58.0,7.88,19553.6,4150.0,2016
0.4,17100.0,36.51,25.29,36.88,16.54,28.8,69.6,70.2,56.3,76.2,0.0,64.5,61.225,70.426,65.857,Croatia,4225000.0,49.0,6.75,26056.287,-13569.0,2016
0.33,37800.0,53.6,26.6,34.0,13.99,32.05,25.0,17.8,12.5,38.1,0.0,23.2,51.135,81.616,66.418,Cuba,11390000.0,47.0,3.46,13086.014,-14454.0,2016
0.4,4700.0,27.6,23.25,28.95,30.9,27.67,54.3,74.4,18.8,61.9,0.0,51.5,66.691,75.624,71.214,Cyprus,1165000.0,55.0,7.65,36509.355,4878.0,2016
0.02,1000.0,15.68,18.53,11.06,23.92,17.3,59.8,68.5,50.0,69.0,0.0,58.3,74.573,80.161,77.39,Denmark,5660000.0,90.0,9.2,54185.008,22859.0,2016
0.52,4600.0,49.13,43.61,55.25,32.42,45.1,25.0,28.9,37.5,59.5,0.0,34.5,18.855,48.796,33.696,Djibouti,888000.0,30.0,2.83,4291.2974,1623.0,2016
1.0,104800.0,47.97,33.84,46.38,24.33,38.13,49.3,59.1,62.5,64.3,0.0,53.5,52.203,79.388,65.914,Dominican Republic,10528000.0,31.0,6.67,15967.202,-30181.0,2016
0.4,65300.0,43.69,29.23,37.74,29.98,35.16,37.2,62.2,25.0,71.4,0.0,46.7,58.187,82.513,70.359,Ecuador,16144000.0,31.0,5.81,11587.825,27063.0,2016
0.63,572900.0,51.25,27.9,62.96,54.85,49.24,35.7,32.0,50.0,52.4,0.0,38.6,59.207,77.42,67.918,Egypt,91508000.0,34.0,3.31,10765.829,-946.0,2016
0.29,18100.0,49.88,29.58,53.68,8.78,35.48,33.0,28.9,50.0,57.1,0.0,38.2,49.153,77.999,62.645,El Salvador,6127000.0,36.0,6.64,8447.104,-47499.0,2016
0.29,2500.0,56.66,40.62,46.38,1.0,36.16,0.0,18.5,0.0,23.8,0.0,9.9,52.751,60.89,57.197,Equatorial Guinea,845000.0,38.0,1.7,21566.057,17109.0,2016
